1,0.1,3,4
2,0.1,3,8
3,0.1,3,12
4,0.1,3,16
5,0.1,3,20
6,0.1,3,24
7,0.1,6,4
8,0.1,6,8
9,0.1,6,12
10,0.1,6,16
11,0.1,6,20
12,0.1,6,24
13,0.1,9,4
14,0.1,9,8
15,0.1,9,12
16,0.1,9,16
17,0.1,9,20
18,0.1,9,24
19,0.1,12,4
20,0.1,12,8
21,0.1,12,12
22,0.1,12,16
23,0.1,12,20
24,0.1,12,24
25,0.1,15,4
26,0.1,15,8
27,0.1,15,12
28,0.1,15,16
29,0.1,15,20
30,0.1,15,24
31,0.1,18,4
32,0.1,18,8
33,0.1,18,12
34,0.1,18,16
35,0.1,18,20
36,0.1,18,24
37,0.1,21,4
38,0.1,21,8
39,0.1,21,12
40,0.1,21,16
41,0.1,21,20
42,0.1,21,24
43,0.25,3,4
44,0.25,3,8
45,0.25,3,12
46,0.25,3,16
47,0.25,3,20
48,0.25,3,24
49,0.25,6,4
50,0.25,6,8
51,0.25,6,12
52,0.25,6,16
53,0.25,6,20
54,0.25,6,24
55,0.25,9,4
56,0.25,9,8
57,0.25,9,12
58,0.25,9,16
59,0.25,9,20
60,0.25,9,24
61,0.25,12,4
62,0.25,12,8
63,0.25,12,12
64,0.25,12,16
65,0.25,12,20
66,0.25,12,24
67,0.25,15,4
68,0.25,15,8
69,0.25,15,12
70,0.25,15,16
71,0.25,15,20
72,0.25,15,24
73,0.25,18,4
74,0.25,18,8
75,0.25,18,12
76,0.25,18,16
77,0.25,18,20
78,0.25,18,24
79,0.25,21,4
80,0.25,21,8
81,0.25,21,12
82,0.25,21,16
83,0.25,21,20
84,0.25,21,24
85,0.4,3,4
86,0.4,3,8
87,0.4,3,12
88,0.4,3,16
89,0.4,3,20
90,0.4,3,24
91,0.4,6,4
92,0.4,6,8
93,0.4,6,12
94,0.4,6,16
95,0.4,6,20
96,0.4,6,24
97,0.4,9,4
98,0.4,9,8
99,0.4,9,12
100,0.4,9,16
101,0.4,9,20
102,0.4,9,24
103,0.4,12,4
104,0.4,12,8
105,0.4,12,12
106,0.4,12,16
107,0.4,12,20
108,0.4,12,24
109,0.4,15,4
110,0.4,15,8
111,0.4,15,12
112,0.4,15,16
113,0.4,15,20
114,0.4,15,24
115,0.4,18,4
116,0.4,18,8
117,0.4,18,12
118,0.4,18,16
119,0.4,18,20
120,0.4,18,24
121,0.4,21,4
122,0.4,21,8
123,0.4,21,12
124,0.4,21,16
125,0.4,21,20
126,0.4,21,24
127,0.55,3,4
